t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1564248000.6949654,+0.5737,+295.0,+0.5310,0,000,+004.95
1564248032.7307897,+0.5737,+295.0,+0.5310,0,000,+004.95
1564248064.7663112,+0.5737,+295.0,+0.5310,0,000,+004.95
1564248096.801575,+0.5737,+295.0,+0.5310,0,000,+004.95
1564248128.837233,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248160.872957,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248192.9085503,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248224.9424157,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248256.9779994,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248289.0139341,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248321.0496843,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248353.0855596,+0.5737,+294.9,+0.5310,0,000,+324.9
1564248385.1214037,+0.5737,+294.9,+0.5310,0,000,+324.9
1564248417.1572418,+0.5737,+294.9,+0.5310,0,000,+324.9
1564248449.1930702,+0.5737,+295.0,+0.5310,0,000,+324.9
1564248481.2288992,+0.5737,+294.9,+0.5310,0,000,+324.9
1564248513.264616,+0.5737,+294.9,+0.5310,0,000,+324.9
1564248545.300495,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248577.333268,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248609.3688505,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248641.404354,+0.5737,+294.9,+0.5310,0,000,+324.9
1564248673.4399881,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248705.4757211,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248737.5113938,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248769.5470135,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248801.5825288,+0.5737,+294.9,+0.5310,0,000,+324.9
1564248833.6181638,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248865.6537318,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248897.689129,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248929.7246394,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248961.7600276,+0.5737,+294.9,+0.5311,0,000,+324.9
1564248993.7956018,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249025.8312185,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249057.8667648,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249089.9021509,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249121.935708,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249153.9712312,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249186.0069826,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249218.0425825,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249250.0783076,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249282.113879,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249314.1495762,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249346.1851635,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249378.2208288,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249410.2561963,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249442.2917962,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249474.3272984,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249506.3629215,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249538.398444,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249570.4337544,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249602.4693694,+0.5737,+294.9,+0.5310,0,000,+324.9
1564249634.5047553,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249666.5403798,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249698.575944,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249730.6115875,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249762.6469738,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249794.6826355,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249826.7180133,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249858.7536018,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249890.7889569,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249922.824461,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249954.859982,+0.5737,+294.9,+0.5311,0,000,+324.9
1564249986.8955092,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250018.9311113,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250050.9665403,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250083.0021768,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250115.037775,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250147.073437,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250179.1089,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250211.1444926,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250243.1801517,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250275.2158282,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250307.2514467,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250339.287092,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250371.3226533,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250403.358215,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250435.3938563,+0.5737,+294.9,+0.5311,0,000,+324.9
1564250467.4294875,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250499.4652119,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250531.500649,+0.5737,+294.9,+0.5310,0,000,+324.9
1564250563.536387,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250595.5720706,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250627.6078584,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250659.643621,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250691.6778944,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250723.7134912,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250755.7490828,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250787.7846038,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250819.820222,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250851.855674,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250883.8912213,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250915.9253924,+0.5736,+294.9,+0.5310,0,000,+324.9
1564250947.9595068,+0.5736,+294.9,+0.5311,0,000,+324.9
1564250979.9951372,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251012.0305383,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251044.0662138,+0.5736,+294.9,+0.5311,0,000,+324.9
1564251076.1016536,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251108.1374044,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251140.1728225,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251172.2085135,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251204.2440586,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251236.279737,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251268.3152235,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251300.3505135,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251332.3859482,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251364.421498,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251396.4570308,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251428.4926271,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251460.5267556,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251492.5625553,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251524.5983021,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251556.633974,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251588.6697683,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251620.7053983,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251652.7412066,+0.5736,+294.9,+0.5310,0,000,+324.9
1564251684.776886,+0.5736,+295.0,+0.5310,0,000,+324.9
1564251716.8113232,+0.5736,+295.0,+0.5310,0,000,+324.9
