t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1562720570.4746907,+1.5986,+002.11,+1.6861,0,000,+000.95
1562720614.5223184,+1.5988,+002.11,+1.6863,0,000,+000.95
1562720658.570197,+1.5988,+002.11,+1.6863,0,000,+000.95
1562720702.618009,+1.5989,+002.11,+1.6863,0,000,+000.95
1562720746.6653175,+1.5989,+002.10,+1.6864,0,000,+000.95
1562720790.713062,+1.5989,+002.10,+1.6863,0,000,+000.95
1562720834.7610738,+1.5989,+002.11,+1.6863,0,000,+000.95
1562720878.8063042,+1.5989,+002.11,+1.6863,0,000,+000.95
1562720922.8542717,+1.5988,+002.11,+1.6863,0,000,+000.95
1562720966.902051,+1.5988,+002.10,+1.6863,0,000,+000.95
1562721010.9456525,+1.5989,+002.11,+1.6863,0,000,+000.95
1562721054.9936192,+1.5989,+002.10,+1.6863,0,000,+000.95
1562721099.0414546,+1.5988,+002.10,+1.6863,0,000,+000.95
1562721143.089493,+1.5988,+002.10,+1.6863,0,000,+000.95
1562721187.1376073,+1.5988,+002.11,+1.6863,0,000,+000.95
1562721231.1856387,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721275.2335532,+1.5987,+002.11,+1.6861,0,000,+000.95
1562721319.281138,+1.5987,+002.11,+1.6862,0,000,+000.95
1562721363.3289685,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721407.3769803,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721451.424788,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721495.4725914,+1.5989,+002.11,+1.6864,0,000,+000.95
1562721539.5205064,+1.5989,+002.10,+1.6864,0,000,+000.95
1562721583.568205,+1.5989,+002.10,+1.6863,0,000,+000.95
1562721627.6160104,+1.5989,+002.11,+1.6862,0,000,+000.95
1562721671.6635864,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721715.7108989,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721759.7586987,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721803.8046272,+1.5988,+002.11,+1.6862,0,000,+000.95
1562721847.8521056,+1.5987,+002.11,+1.6862,0,000,+000.95
1562721891.8997397,+1.5986,+002.11,+1.6861,0,000,+000.95
1562721935.9464135,+1.5987,+002.11,+1.6862,0,000,+000.95
1562721979.9942086,+1.5988,+002.11,+1.6863,0,000,+000.95
1562722024.041956,+1.5988,+002.10,+1.6863,0,000,+000.95
1562722068.0897083,+1.5989,+002.10,+1.6864,0,000,+000.95
1562722112.1374876,+1.5989,+002.11,+1.6863,0,000,+000.95
1562722156.1852539,+1.5988,+002.11,+1.6862,0,000,+000.95
1562722200.2329223,+1.5988,+002.11,+1.6863,0,000,+000.95
1562722244.2722926,+1.5989,+002.10,+1.6864,0,000,+000.95
1562722288.3199718,+1.5989,+002.10,+1.6862,0,000,+000.95
1562722332.3675983,+1.5988,+002.11,+1.6863,0,000,+000.95
1562722376.415293,+1.5989,+002.11,+1.6864,0,000,+000.95
1562722420.4616334,+1.5988,+002.11,+1.6862,0,000,+000.95
1562722464.509162,+1.5988,+002.11,+1.6862,0,000,+000.95
1562722508.5569506,+1.5988,+002.11,+1.6861,0,000,+000.95
1562722552.6046772,+1.5987,+002.12,+1.6861,0,000,+000.95
1562722596.6523652,+1.5986,+002.11,+1.6861,0,000,+000.95
1562722640.7000725,+1.5987,+002.11,+1.6862,0,000,+000.95
1562722684.747789,+1.5987,+002.11,+1.6861,0,000,+000.95
1562722728.795532,+1.5987,+002.11,+1.6863,0,000,+000.95
1562722772.8430846,+1.5989,+002.11,+1.6862,0,000,+000.95
1562722816.8905425,+1.5988,+002.11,+1.6863,0,000,+000.95
1562722860.9367194,+1.5987,+002.11,+1.6863,0,000,+000.95
1562722904.984151,+1.5988,+002.11,+1.6863,0,000,+000.95
1562722949.0319362,+1.5989,+002.10,+1.6864,0,000,+000.95
1562722993.0796688,+1.5988,+002.10,+1.6863,0,000,+000.95
1562723037.1273527,+1.5989,+002.11,+1.6863,0,000,+000.95
1562723081.1751215,+1.5989,+002.11,+1.6863,0,000,+000.95
1562723125.222647,+1.5989,+002.11,+1.6863,0,000,+000.95
1562723169.270298,+1.5987,+002.11,+1.6862,0,000,+000.95
1562723213.3178072,+1.5987,+002.11,+1.6862,0,000,+000.95
1562723257.3653567,+1.5987,+002.11,+1.6862,0,000,+000.95
1562723301.4129333,+1.5987,+002.11,+1.6862,0,000,+000.95
1562723345.460564,+1.5988,+002.11,+1.6863,0,000,+000.95
1562723389.5081816,+1.5989,+002.11,+1.6864,0,000,+000.95
1562723433.5558786,+1.5989,+002.10,+1.6864,0,000,+324.9
1562723477.6035457,+1.5990,+002.10,+1.6865,0,000,+324.9
1562723521.6512022,+1.5989,+002.10,+1.6864,0,000,+324.9
1562723565.696734,+1.5988,+002.11,+1.6863,0,000,+324.9
1562723609.7442527,+1.5988,+002.10,+1.6863,0,000,+324.9
1562723653.7918262,+1.5988,+002.11,+1.6862,0,000,+324.9
1562723697.839443,+1.5988,+002.11,+1.6862,0,000,+324.9
1562723741.88696,+1.5987,+002.11,+1.6861,0,000,+324.9
1562723785.9344049,+1.5987,+002.11,+1.6861,0,000,+324.9
1562723829.9819074,+1.5987,+002.11,+1.6862,0,000,+324.9
